trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.05726876026546736, 'e': 0.05726876026546736}",20,8,23.807573268740473,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.056134762834133725, 'e': 0.056134762834133725}",25,10,27.104487904433686,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.05502322005640723, 'e': 0.05502322005640723}",20,16,8.296803831692902,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.05393368730035602, 'e': 0.05393368730035602}",25,12,23.443762373952428,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.05286572873835037, 'e': 0.05286572873835037}",20,3,-5.761918377001732,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.05181891717272583, 'e': 0.05181891717272583}",25,9,23.850509517224776,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.0507928338648985, 'e': 0.0507928338648985}",20,12,15.88228494918176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.049787068367863944, 'e': 0.049787068367863944}",35,3,49.640606775015904,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.04880121836201296, 'e': 0.04880121836201296}",20,0,15.74442240894531,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.04783488949419837, 'e': 0.04783488949419837}",20,10,19.867037746193347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.046887695219988486, 'e': 0.046887695219988486}",30,4,34.534240746113326,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.045959256649044204, 'e': 0.045959256649044204}",30,18,21.64521366301108,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.0450492023935578, 'e': 0.0450492023935578}",35,22,15.840663802925754,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.04415716841969286, 'e': 0.04415716841969286}",25,8,7.383876230358003,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.043282797901965896, 'e': 0.043282797901965896}",20,7,20.36590524233293,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.042425741080511385, 'e': 0.042425741080511385}",25,5,18.420652661972493,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.04158565512117316, 'e': 0.04158565512117316}",20,13,9.515182057618164,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.04076220397836621, 'e': 0.04076220397836621}",25,13,22.568059270074343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.039955058260653896, 'e': 0.039955058260653896}",20,12,14.690971774039818,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.039163895098987066, 'e': 0.039163895098987066}",20,10,15.58936021390489,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.038388398017552054, 'e': 0.038388398017552054}",20,16,7.802664107185819,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.0376282568071762, 'e': 0.0376282568071762}",30,16,20.86249287291905,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.036883167401239994, 'e': 0.036883167401239994}",20,13,13.695265581609705,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.03615283175404641, 'e': 0.03615283175404641}",25,13,22.2604100308107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.03543695772159864, 'e': 0.03543695772159864}",20,4,25.865650464978188,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.03473525894473856, 'e': 0.03473525894473856}",25,13,15.52194681888114,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.034047454734599344, 'e': 0.034047454734599344}",20,12,14.717797802254182,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.03337326996032608, 'e': 0.03337326996032608}",30,24,14.143071126423834,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
